author,introduction,price,title
构图君,    《剪映：短、中、长视频剪辑全攻略（手机版 电脑版）》一书不仅介绍了如何用剪映手机版剪辑短视频，同时也介绍了剪映专业版，教你如何用电脑处理中、长视频。 本书具体内容主要分为以下三篇。 基础与核心技能篇：介绍剪映基础的知识与核心的功能，适合所有视频剪辑初学者。 手机短视频案例篇：全部以案例为主，介绍抖音爆款效果制作的方法，如卡视频和热门视频等。 电脑中长视频处理篇：以中、长视频实例为主，介绍中型、大型案例的视频制作方法。 本书案例居多，并且集锦了很多热门视频，从手机版到电脑版的各种短、中、长视频的制作方法一应俱全，因此本书既适合剪映手机版读者，也适合剪映电脑版读者，还适合短视频爱好者、自媒体运营者和从事视频相关工作的读者，另外，还可以作为学校教材使用。本书除了纸质内容之外，随书资源包中还给出了书中案例的教学视频、效果文件和素材文件。读者可扫描书中二维码及封底的“文泉云盘”二维码，手机在线观看学习并下载素材文件。,48.86,剪映:短、中、长视频剪辑全攻略(手机版+电脑版)
蒂姆·拉夫加登(Tim Roughgarden)  著,“算法详解”系列图书共有4卷，本书是第3卷—贪心算法和动态规划。其中贪心算法主要包括调度、最小生成树、聚类、哈夫曼编码等，动态规划主要包括背包、序列对齐、最短路径、最佳搜索树等。本书的每一章均有小测验和章末习题，这将为读者的自我检查以及一步学习提供方便。 本书作者提供丰富而实用的资源，能够帮助读者提升算法思维能力。本书适合计算机专业的高校教师和学生、想要培养和训练算法思维、计算思维的IT专业人士，以及面试官和正在准备面试的应聘者阅读、参考。,44.67,算法详解(卷3)——贪心算法和动态规划
铃铛子,不会手绘可以画好思维导图吗？电子版思维导图如何制作？现场听课如何用思维导图做笔记？思维导图如何与视觉笔记、知识卡片、手账一起使用？本书是一本创意笔记书。以思维导图为核心，介绍了多种思维导图的新式使用场景。本书将各种流行的笔记形式和思维导图行对比，方便读者学习和运用。在许多笔记形式中，思维导图无疑是受欢迎的形式之一。对于学习技能的人而言，一本工具书的用处之一就是能让人掌握一项技能。 本书不仅适合思维导图爱好者阅读，还可以作为低年级学生、商业课程讲师、艺术设计相关从业者的参考书籍。,48.3,神奇笔记:思维导图轻松学
刘琼,ChatGPT是由OpenAI公司研发的人工智能聊天机器人，它可以行自然语言文本的理解和生成。ChatGPT的出现让计算机能够更加自然地与人类行对话，这标志着人工智能技术在自然语言处理领域取得了革命性的突破，人机交互从此迈了一个新的时代。 本书将带领读者深了解ChatGPT，介绍ChatGPT的相关概念、技术原理和实际应用，并探讨人工智能相关技术与产业的发展前景。全书共8章，可划分为3个部分。 第1部分为第1章，以“ChatGPT是什么”为主题。先简单介绍了聊天机器人的概念，然后介绍ChatGPT的核心技术和发明者，着探讨了ChatGPT成为史上增长快的消费级应用背后的原因，后就大众所关心的一些问题做了回答。 第2部分为第2～5章，以“ChatGPT怎么用”为主题。第2章介绍了ChatGPT及其同公司的其他应用型产品（DALL·E2和OpenAI API）的基本使用方法。第3章介绍了一些能让ChatGPT的功能更完善的插件。第4、5章通过ChatGPT的一些实际应用案例，展示ChatGPT在各种领域的应用场景和未来发展方向。 第3部分为第6～8章，以“ChatGPT能带来什么”为主题。第6、7章介绍了AIGC（人工智能生成内容）的产业生态及当前比较知名的一些AIGC工具。第8章初步探讨了AIGC可能会在道德、隐私和安全等方面引发的问题。 本书旨在为对ChatGPT感兴趣的读者提供一份较为全面且通俗易懂的资源，帮助他们更好地理解人工智能技术的意义和影响。希望本书能为读者带来关于人工智能技术的新思考，激励更多人投身于人工智能技术的研究和应用，为人工智能技术的发展做出更大的贡献。,39.8,ChatGPT:AI革命
[荷] 费莉安·赫尔曼斯(Felienne Hermans) 著,为什么你在写代码时总会遇到这样或那样的问题？为什么你总是记错某些语法？为什么有些人能够快速学会新的编程语言，而有些人则不能？在试图解决困难或复杂的问题时，我们的大脑其实有一套特定的工作方式。本书从认知科学角度剖析优秀程序设计背后的脑科学原理，为你揭大脑思考编程的奥秘。本书分为四大部分，共有13章。你将了解如下内容：如何高效地学习新的编程语言，如何快速地理解复杂的代码，如何牢固地记住各种语法，如何在繁杂的程序设计工作中优化认知资源。 本书是程序员的普适书，初学编程的初高中生也可以阅读。,44.9,程序员*大脑
王树义 著,人工智能（AI）是否会取代人类？是不是所有的事情机器都能比人做得好？当 AlphaGo 能下围棋、ChatGPT 能理解并生成内容时，当每一次AI 应用取得突破时，这两个问题都会引起人们的广泛讨论。 本书提供了多个 AI 应用的例子，可让读者直观地了解 AI 已经可以出色地完成很多任务。通过一个个具体的案例，本书细致讲解了主要 AI 工具的使用方法，包括 ChatGPT、Midjourney、Stable Diffusion 等 AIGC（人工智能生成内容）工具，以辅助我们完成绘画、视频制作、写作、科研等任务，从而提高工作效率。在具体的案例之外，本书还有对方法论的阐述，可提升读者对 AI 的认知，增强人人都能用好 AI 的信心。希望读者能举一反三，找到更巧妙、更适合自己的 AI 应用方式。 希望通过本书，生活在智能时代的我们能意识到 AI 不再只是机器人或软件，它可以成为我们很好的助手，甚至变成我们的“合伙人”。,38.34,智慧共生 ChatGPT与AIGC生产力工具实践
[美]肯尼斯·斯坦利;[美]乔尔·雷曼,两位作者持续多年扎根人工智能前沿领域，这本书是他们在科学研究的过程中蹦出的意外火花。因为这一全新发现并不是直回馈于他们本身所处的人工智能领域，而是“无心插柳”收获了对人类约定俗成的思维方式的全新颠覆。这一研究破了人类世界延续多年、难以撼动的、依靠目标和计划成事的文化基因，真正启了人类伟大创新的惊喜之旅。 他们在学校、TED、科研论坛等场合公演讲，让这一新思维方式影响并激励了许多人。他们自身也凭借写本书的“寻宝者思维”“踏脚石模型”“新奇式探索”等具体思维方法，在人工智能研发领域取得了飞跃式的突破和展，产生了一系列惠于人类的伟大创造。,59.0,为什么伟大不能被计划
凌祯  等,"随着ChatGPT的火爆出现，相信很多人都在思考如何使用和训练ChatGPT，让它成为自己工作和生活的""得力助手”。 本书就是一本教你如何训练ChatGPT*完成日常办公任务的实战图书。全书分3篇，共8章。其中，第1章介绍ChatGPT的技术原理，第2～4章介绍正确使用ChatGPT的方法，第5～8章通过丰富的实战案例，介绍如何利用ChatGPT生成VBA、Python代码，从而培养我们的编程思维，实现工作中的编程自动化，进而在AI的加持下快速提升我们的数据处理与分析、总结汇报和互联网营销能力。 本书中所有的案例均来自实际的办公场景，这些案例都可以通过训练ChatGPT来自动化完成，具有很强的实操性和可借鉴性。另外，为了方便读者学习和实践，本书还提供了案例配套素材和视频。",55.93,AI智能办公:从训练ChatGPT开始
[日]矢泽久雄 著,本书从计算机的内部结构始讲起，以图配文的形式详细讲解了二制、内存、数据压缩、源文件和可执行文件、操作系统和应用程序的关系、汇编语言、硬件控制方法等内容，目的是让读者了解从用户双程序图标到程序始运行之间到底发生了什么。书中还专设了“如果是你，你会怎样讲呢？”专栏，以小学生、老奶奶等为对象讲解程序的运行原理，颇为有趣。 第3版升级了书中用到的软件产品和发工具，并在正文和注释中补充了大量内容，让初学者更容易理解。对于旧版中颇受好评的硬件相关章节，更新了C语言的样例代码。书末附录关于C语言的章节也升级至标准。 第12章新增了Python机器学习的内容，让初学者能够轻松体验人工智能的乐趣。附录也增加了对Python语言的介绍。 本书图文并茂，通俗易懂，非常适合计算机爱好者及相关从业人员阅读。,29.9,程序是怎样跑起来的(第3版)
[美]科尔·努斯鲍默·纳福利克著,本书通过大量案例研究介绍数据可视化的基础知识，以及如何利用数据创造出吸引人的、信息量大的、有说服力的故事，而达到有效沟通的目的。具体内容包括：如何充分理解上下文，如何选择合适的图表，如何消除杂乱，如何聚焦受众的视线，如何像设计师一样思考，以及如何用数据讲故事。 本书适合所有需要用图表展示信息和数据的人士阅读。,34.9,用数据讲故事(修订版)
